YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,LocationID,TopicID,QuestionID,StratificationCategoryID1
2018,AL,Alabama,SEDD; SID,Diabetes,Amputation of a lower extremity attributable to diabetes,"cases per 10,000",Age-adjusted Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,1,DIA,DIA4_0,RACE
2018,SC,South Carolina,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,46.17,44.74,47.6,Race/Ethnicity,"Black, non-Hispanic",,45,CVD,CVD2_0,RACE
2016,GA,Georgia,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,13,COPD,COPD3_0,RACE
2010,ID,Idaho,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",Crude Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,16,DIA,DIA1_1,RACE
2013,AK,Alaska,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,Crude Prevalence,78.3,61.3,89.1,Gender,Male,,2,CVD,CVD10_2,GENDER
2016,CT,Connecticut,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,Average Annual Number,174,,,Gender,Female,,9,CAN,CAN10_1,GENDER
2019,AL,Alabama,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,37.9,29.0,47.6,Race/Ethnicity,"White, non-Hispanic",,1,AST,AST6_1,RACE
2013,LA,Louisiana,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,Average Annual Number,16.0,,,Race/Ethnicity,Hispanic,,22,CAN,CAN8_2,RACE
2015,MI,Michigan,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",Average Annual Age-adjusted Rate,48.6,48.0,49.2,Race/Ethnicity,"White, non-Hispanic",,26,CAN,CAN8_2,RACE
2012,PA,Pennsylvania,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,17.7,12.7,24.0,Race/Ethnicity,"Other, non-Hispanic",,42,ART,ART1_1,RACE
2012,NH,New Hampshire,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,Number,2296.0,,,Race/Ethnicity,"White, non-Hispanic",,33,CVD,CVD1_2,RACE
2016,WA,Washington,CMS CCW,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,Crude Prevalence,57.6,,,Race/Ethnicity,Asian or Pacific Islander,,53,OLD,OLD4_0,RACE
2012,MN,Minnesota,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",,Average Annual Number,31.0,,,Race/Ethnicity,Hispanic,,27,CAN,CAN11_1,RACE
2011,NC,North Carolina,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",Crude Rate,1.8,1.3,2.5,Race/Ethnicity,"Black, non-Hispanic",,37,DIA,DIA1_2,RACE
2011,NC,North Carolina,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",Age-adjusted Rate,138.3,111.8,164.7,Race/Ethnicity,American Indian or Alaska Native,,37,CVD,CVD1_3,RACE
2010,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,Number,2728.0,,,Overall,Overall,,4,DIA,DIA1_1,OVERALL
2017,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,30.34,23.46,37.23,Race/Ethnicity,Asian or Pacific Islander,,2,COPD,COPD5_4,RACE
2010,NM,New Mexico,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,40.5,38.6,42.4,Gender,Male,,35,DIS,DIS1_0,GENDER
2018,LA,Louisiana,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,,Number,33.0,,,Race/Ethnicity,Asian or Pacific Islander,,22,CVD,CVD1_3,RACE
2019,IL,Illinois,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,17,DIA,DIA13_2,RACE
2013,IN,Indiana,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,42.0,37.8,46.4,Overall,Overall,,18,COPD,COPD3_0_1,OVERALL
2020,MD,Maryland,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Mean,,,,Race/Ethnicity,"Other, non-Hispanic",,24,ALC,ALC4_0,RACE
2011,ME,Maine,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,23,COPD,COPD3_0_1,RACE
2011,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,100.0,,,Race/Ethnicity,Asian or Pacific Islander,,25,CKD,CKD1_0,RACE
2016,NM,New Mexico,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,Age-adjusted Prevalence,3.1,2.4,4.0,Gender,Female,,35,CKD,CKD3_0,GENDER
2017,GA,Georgia,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,Number,800.0,,,Race/Ethnicity,Hispanic,,13,COPD,COPD5_1,RACE
2018,NJ,New Jersey,Statewide central cancer registries,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",Average Annual Age-adjusted Rate,45.4,43.6,47.1,Race/Ethnicity,"Black, non-Hispanic",,34,CAN,CAN7_1,RACE
2020,CO,Colorado,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,3.02,2.78,3.25,Gender,Female,,8,COPD,COPD5_3,GENDER
2017,RI,Rhode Island,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Crude Prevalence,44.0,36.8,51.4,Gender,Female,,44,DIA,DIA10_0,GENDER
2013,NE,Nebraska,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",Average Annual Crude Rate,18,16.8,19.3,Gender,Male,,31,CAN,CAN10_1,GENDER
2020,WA,Washington,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",Age-adjusted Rate,102.6,99.8,105.4,Gender,Female,,53,CVD,CVD1_2,GENDER
2021,PR,Puerto Rico,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Mean,,,,Race/Ethnicity,"Other, non-Hispanic",,72,ALC,ALC4_0,RACE
2014,LA,Louisiana,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",Crude Rate,0.9,0.5,1.4,Gender,Female,,22,DIA,DIA1_2,GENDER
2020,OK,Oklahoma,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Age-adjusted Prevalence,68.3,58.7,76.6,Race/Ethnicity,"Other, non-Hispanic",,40,CAN,CAN2_1,RACE
2016,NY,New York,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,78.5,59.7,90.0,Race/Ethnicity,"Other, non-Hispanic",,36,COPD,COPD4_0,RACE
2012,KY,Kentucky,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,65.8,64.0,67.5,Gender,Female,,21,ORH,ORH1_1,GENDER
2019,MS,Mississippi,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence","per 100,000",Average Annual Age-adjusted Rate,,,,Gender,Female,,28,CAN,CAN11_1,GENDER
2016,ND,North Dakota,Statewide central cancer registries,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",Average Annual Age-adjusted Rate,2.5,2.0,3.1,Race/Ethnicity,Asian or Pacific Islander,,38,CAN,CAN4_1,RACE
2016,MO,Missouri,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,29,NPAW,NPAW2_3,RACE
2014,DC,District of Columbia,Death Certificate,Cancer,"Cancer of the female breast, mortality","per 100,000",Average Annual Crude Rate,,,,Race/Ethnicity,Hispanic,,11,CAN,CAN5_2,RACE
2019,ME,Maine,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,23,TOB,TOB3_0,RACE
2014,WV,West Virginia,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,,,,Race/Ethnicity,Asian or Pacific Islander,,54,CVD,CVD2_0,RACE
2014,NY,New York,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,7.4,4.3,12.3,Race/Ethnicity,"Other, non-Hispanic",,36,AST,AST1_1,RACE
2017,MT,Montana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,0.7,1.9,Gender,Female,,30,NPAW,NPAW4_2,GENDER
2019,MO,Missouri,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Age-adjusted Prevalence,5.9,5.0,6.9,Race/Ethnicity,"White, non-Hispanic",,29,TOB,TOB2_2,RACE
2017,DC,District of Columbia,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Crude Rate,,,,Gender,Female,,11,AST,AST2_1,GENDER
2017,MO,Missouri,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Age-adjusted Prevalence,50.9,40.6,61.2,Overall,Overall,,29,DIA,DIA10_0,OVERALL
2018,NM,New Mexico,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",Crude Rate,30.28,28.66,31.9,Race/Ethnicity,"White, non-Hispanic",,35,COPD,COPD5_1,RACE
2020,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.6,9.9,29.3,Race/Ethnicity,"Other, non-Hispanic",,23,ALC,ALC2_2,RACE
2021,PA,Pennsylvania,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Age-adjusted Prevalence,56.4,48.3,64.2,Overall,Overall,,42,DIA,DIA10_0,OVERALL
2012,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,18,MTH,MTH1_0,RACE
2013,WY,Wyoming,Statewide central cancer registries,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",Average Annual Age-adjusted Rate,43.5,40.3,46.9,Gender,Female,,56,CAN,CAN8_1,GENDER
2013,OK,Oklahoma,Statewide central cancer registries,Cancer,"Invasive cancer (all sites combined), incidence",,Average Annual Number,1201.0,,,Race/Ethnicity,"Black, non-Hispanic",,40,CAN,CAN4_1,RACE
2015,MT,Montana,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,30.6,16.4,49.9,Gender,Female,,30,CVD,CVD9_1,GENDER
2017,DE,Delaware,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,7.2,4.1,12.1,Race/Ethnicity,Hispanic,,10,AST,AST1_1,RACE
2015,MI,Michigan,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",Average Annual Age-adjusted Rate,149.4,148.1,150.8,Gender,Female,,26,CAN,CAN4_2,GENDER
2012,ME,Maine,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",Average Annual Age-adjusted Rate,86.0,59.6,119.1,Race/Ethnicity,Hispanic,,23,CAN,CAN4_2,RACE
2011,SC,South Carolina,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,Age-adjusted Prevalence,14.1,9.3,20.7,Race/Ethnicity,"Multiracial, non-Hispanic",,45,COPD,COPD2_0,RACE
2021,MT,Montana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,Crude Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,30,NPAW,NPAW2_3,RACE
2014,OK,Oklahoma,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",Crude Rate,,,,Race/Ethnicity,"White, non-Hispanic",,40,COPD,COPD5_2,RACE
2014,IA,Iowa,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,41.8,31.3,53.1,Overall,Overall,,19,CVD,CVD9_1,OVERALL
2017,MD,Maryland,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,,Number,3188.0,,,Gender,Male,,24,COPD,COPD5_3,GENDER
2013,TX,Texas,Death Certificate,Cancer,"Cancer of the prostate, mortality","per 100,000",Average Annual Age-adjusted Rate,16.5,15.7,17.5,Race/Ethnicity,Hispanic,,48,CAN,CAN11_2,RACE
2013,NV,Nevada,NVSS,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",Age-adjusted Rate,145.5,117.0,178.8,Race/Ethnicity,"Black, non-Hispanic",,32,COPD,COPD1_2,RACE
2020,AL,Alabama,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Crude Prevalence,76,71.9,79.7,Race/Ethnicity,"White, non-Hispanic",,1,CAN,CAN2_1,RACE
2015,NM,New Mexico,SEDD; SID,Cardiovascular Disease,Hospitalization for acute myocardial infarction,,Number,177.0,,,Race/Ethnicity,American Indian or Alaska Native,,35,CVD,CVD3_2,RACE
2015,IA,Iowa,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,36.0,22.9,51.6,Race/Ethnicity,"Black, non-Hispanic",,19,IMM,IMM1_0,RACE
2011,OH,Ohio,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,39,CVD,CVD10_2,RACE
2016,NJ,New Jersey,Death Certificate,Cancer,"Melanoma, mortality","per 100,000",Average Annual Crude Rate,4.5,4.3,4.8,Race/Ethnicity,"White, non-Hispanic",,34,CAN,CAN9_2,RACE
2018,SC,South Carolina,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Race/Ethnicity,Hispanic,,45,DIA,DIA6_0,RACE
2021,MT,Montana,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,Crude Prevalence,28.9,26.8,31.0,Gender,Female,,30,CVD,CVD5_0,GENDER
2013,MD,Maryland,BRFSS,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,Crude Prevalence,,,,Overall,Overall,,24,ART,ART5_0,OVERALL
2021,KY,Kentucky,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.3,4.6,8.0,Race/Ethnicity,"Black, non-Hispanic",,21,MTH,MTH1_0,RACE
2019,KS,Kansas,Death Certificate,Cancer,"Melanoma, mortality","per 100,000",Average Annual Age-adjusted Rate,2.5,2.2,2.7,Overall,Overall,,20,CAN,CAN9_2,OVERALL
2013,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Crude Prevalence,34.4,31.7,37.2,Overall,Overall,,66,NPAW,NPAW3_1,OVERALL
2015,NV,Nevada,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,32,AST,AST5_1,RACE
2016,ID,Idaho,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,16,TOB,TOB3_0,RACE
2012,MN,Minnesota,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,16.4,15.5,17.3,Race/Ethnicity,"White, non-Hispanic",,27,NPAW,NPAW10_0,RACE
2015,NC,North Carolina,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,,Number,81855.0,,,Race/Ethnicity,"White, non-Hispanic",,37,COPD,COPD5_2,RACE
2016,AL,Alabama,Death Certificate,Cancer,"Melanoma, mortality","per 100,000",Average Annual Age-adjusted Rate,2.6,2.4,2.8,Overall,Overall,,1,CAN,CAN9_2,OVERALL
2013,FL,Florida,SEDD; SID,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",Age-adjusted Rate,8.46,7.66,9.26,Race/Ethnicity,Asian or Pacific Islander,,12,CVD,CVD3_1,RACE
2010,SC,South Carolina,AEDS,Alcohol,Per capita alcohol consumption among persons aged >= 14 years,gallons,Per capita alcohol consumption,2.3,,,Overall,Overall,,45,ALC,ALC7_0,OVERALL
2019,IN,Indiana,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,6.9,6.0,8.0,Gender,Male,,18,AST,AST1_1,GENDER
2014,OK,Oklahoma,BRFSS,Tobacco,Current cigarette smoking among women aged 18-44 years,%,Crude Prevalence,35.6,19.9,55.2,Race/Ethnicity,"Multiracial, non-Hispanic",,40,TOB,TOB1_3,RACE
2015,OR,Oregon,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,27.0,25.1,29.1,Gender,Female,,41,ART,ART1_1,GENDER
2013,WI,Wisconsin,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,Average Annual Number,555,,,Gender,Male,,55,CAN,CAN10_1,GENDER
2018,KY,Kentucky,Statewide central cancer registries,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",Average Annual Age-adjusted Rate,127.7,125.7,129.6,Gender,Female,,21,CAN,CAN5_1,GENDER
2014,AZ,Arizona,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",Average Annual Age-adjusted Rate,36.4,32.4,40.7,Race/Ethnicity,"Black, non-Hispanic",,4,CAN,CAN8_2,RACE
2019,MS,Mississippi,Death Certificate,Cancer,"Melanoma, mortality",,Average Annual Number,,,,Race/Ethnicity,Hispanic,,28,CAN,CAN9_2,RACE
2015,AZ,Arizona,SEDD; SID,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",Crude Rate,11.09,9.69,12.5,Race/Ethnicity,American Indian or Alaska Native,,4,CVD,CVD3_1,RACE
2019,KS,Kansas,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,Crude Prevalence,7.7,4.9,12.1,Race/Ethnicity,"Other, non-Hispanic",,20,COPD,COPD2_0,RACE
2015,MN,Minnesota,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,Crude Prevalence,6.5,5.7,7.4,Gender,Male,,27,COPD,COPD2_0_1,GENDER
2020,AL,Alabama,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,1,ART,ART1_1,RACE
2013,LA,Louisiana,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,22,DIA,DIA7_0,RACE
2013,IN,Indiana,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,18,DIA,DIA5_0,RACE
2014,US,United States,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,72.72,72.0,73.45,Race/Ethnicity,Hispanic,,59,COPD,COPD5_4,RACE
2013,KY,Kentucky,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",Age-adjusted Rate,316.3,308.4,324.2,Gender,Male,,21,CVD,CVD1_1,GENDER
2016,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,28,COPD,COPD8_0,RACE
2020,FL,Florida,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,Age-adjusted Mean,2.1,1.8,2.5,Gender,Male,,12,OVC,OVC7_2,GENDER
2012,PA,Pennsylvania,CMS CCW,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,Crude Prevalence,68.9,,,Race/Ethnicity,Hispanic,,42,OLD,OLD4_0,RACE
2018,CA,California,Statewide central cancer registries,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",Average Annual Crude Rate,422.1,420.8,423.4,Gender,Male,,6,CAN,CAN4_1,GENDER
2020,RI,Rhode Island,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,46.8,31.8,62.5,Gender,Male,,44,AST,AST6_1,GENDER
2015,AR,Arkansas,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,5,ART,ART1_3,RACE
2019,WI,Wisconsin,NVSS,Cardiovascular Disease,Mortality from heart failure,,Number,40.0,,,Race/Ethnicity,American Indian or Alaska Native,,55,CVD,CVD1_4,RACE
2020,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",Age-adjusted Rate,40.6,25.5,61.5,Race/Ethnicity,Asian or Pacific Islander,,1,DIA,DIA1_1,RACE
2018,DC,District of Columbia,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,85.8,76.0,92.0,Gender,Male,,11,DIA,DIA5_0,GENDER
2015,PR,Puerto Rico,YRBSS,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,%,Crude Prevalence,,,,Race/Ethnicity,American Indian or Alaska Native,,72,NPAW,NPAW21_0,RACE
2018,RI,Rhode Island,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,44,AST,AST5_2,RACE
2020,LA,Louisiana,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Gender,Female,,22,DIA,DIA7_0,GENDER
2013,AR,Arkansas,SEDD; SID,Diabetes,Hospitalization with diabetes as a listed diagnosis,"cases per 10,000",Age-adjusted Rate,211.87,210.17,213.57,Race/Ethnicity,"White, non-Hispanic",,5,DIA,DIA9_0,RACE
2014,ND,North Dakota,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,Age-adjusted Prevalence,7.1,5.9,8.4,Gender,Female,,38,COPD,COPD2_0_1,GENDER
2010,CT,Connecticut,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",Age-adjusted Rate,,,,Gender,Male,,9,DIA,DIA1_2,GENDER
2019,AZ,Arizona,Death Certificate,Cancer,"Cancer of the prostate, mortality",,Average Annual Number,688.0,,,Gender,Male,,4,CAN,CAN11_2,GENDER
2016,IA,Iowa,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",Age-adjusted Rate,38.45,37.41,39.5,Overall,Overall,,19,COPD,COPD5_1,OVERALL
2019,US,United States,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,Number,2469813.0,,,Race/Ethnicity,"White, non-Hispanic",,59,COPD,COPD5_4,RACE
2010,VT,Vermont,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",Crude Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,50,DIA,DIA1_2,RACE
2019,WY,Wyoming,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,,,,Overall,Overall,,56,NPAW,NPAW1_2,OVERALL
2015,AL,Alabama,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Crude Prevalence,24.5,22.9,26.2,Gender,Female,,1,OVC,OVC6_1,GENDER
2013,AZ,Arizona,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,,Number,7357.0,,,Overall,Overall,,4,CVD,CVD1_3,OVERALL
2012,MO,Missouri,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Crude Prevalence,41.8,35.0,48.9,Overall,Overall,,29,CVD,CVD9_1,OVERALL
2014,WA,Washington,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,11.44,10.08,12.79,Race/Ethnicity,Asian or Pacific Islander,,53,CVD,CVD2_0,RACE
2018,TX,Texas,SEDD; SID,Diabetes,Hospitalization with diabetes as a listed diagnosis,"cases per 10,000",Age-adjusted Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,48,DIA,DIA9_0,RACE
2019,IA,Iowa,Statewide central cancer registries,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",Average Annual Crude Rate,14.2,11.9,16.8,Race/Ethnicity,Hispanic,,19,CAN,CAN7_1,RACE
2018,UT,Utah,Statewide central cancer registries,Cancer,"Invasive cancer of the cervix, incidence",,Average Annual Number,56.0,,,Race/Ethnicity,"White, non-Hispanic",,49,CAN,CAN6_1,RACE
2015,RI,Rhode Island,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,%,Age-adjusted Prevalence,31.0,28.8,33.4,Race/Ethnicity,"White, non-Hispanic",,44,NPAW,NPAW11_3,RACE
